header1,header2,data length,command,control,Normal Speed,Angle Stepping,Speed Up Time,Speed Up Unit,Speed Down Time,Speed Down Unit,Lift Control (0-3),Special flag,max speed,min speed,Target X,Target Y,Target Angle,Current X,Current Y,Current Angle,PID_P ,PID_I ,PID_D ,PID_Gain,PID Control Time,Volume Melody,PID Activate Error Value,Condition,End command,Target end command,Traffic,Remote CF,Reveres,Delay,PID2_P(Free) ,PID2_I_Low(Free) ,Area Sensor Front,Area Sensor Right,Area Sensor Left,PID2_Gain(Free)
AA,55,57,1,1,600,0,0,0,0,0,1,0,30,30,52400,0,0,,,,3,0,1,1,10,20,0,2,2,109800,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,400,0,0,0,0,0,1,0,30,30,52400,0,0,,,,3,0,1,1,10,20,0,2,2,103300,0,0,0,0,1,0,0,0,0,1
AA,55,57,4,4,400,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,-3000,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,600,0,0,0,0,0,1,0,30,30,0,103200,0,,,,3,0,1,1,10,20,0,1,1,59110,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,400,0,0,0,0,0,1,0,30,30,0,103200,0,,,,3,0,1,1,10,20,0,1,1,62740,0,0,0,0,1,0,0,0,0,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,-85000,0,0,0,0,1,0,0,0,0,1
AA,55,57,2,1,400,0,0,0,0,0,1,1,30,30,62670,0,-90000,,,,4,0,1,1,10,20,0,1,2,102200,0,0,0,0,1,0,0,0,0,1
AA,55,57,2,1,200,0,0,0,0,0,1,1,30,30,62670,0,-90000,,,,4,0,1,1,10,20,0,1,2,104000,0,0,0,0,1,0,0,0,0,1
AA,55,57,2,1,0,0,0,0,0,0,1,1,30,30,62670,0,-90000,,,,4,0,1,1,10,20,0,1,2,104000,0,0,0,2,1,0,0,0,0,1
AA,55,57,2,1,0,0,0,0,0,0,3,1,30,30,62670,0,-90000,,,,4,0,1,1,10,20,0,1,2,103500,0,0,0,3,1,0,0,0,0,1
AA,55,57,1,1,0,0,0,0,0,0,3,0,30,30,62670,0,0,,,,3,0,1,1,10,20,0,1,2,103500,0,0,0,5,1,0,0,0,0,1
AA,55,57,1,1,600,0,0,0,0,0,3,0,30,30,62670,0,0,,,,3,0,1,1,10,20,0,2,2,109800,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,400,0,0,0,0,0,3,0,30,30,62670,0,0,,,,3,0,1,1,10,20,0,2,2,103100,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,0,0,0,0,0,0,3,0,30,30,62670,0,0,,,,3,0,1,1,10,20,0,2,2,103300,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,0,0,0,0,0,0,1,0,30,30,62670,0,0,,,,3,0,1,1,10,20,0,2,2,103600,0,0,0,0,1,0,0,0,0,1
AA,55,57,4,4,400,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,-3000,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,600,0,0,0,0,0,1,0,30,30,0,103200,0,,,,3,0,1,1,10,20,0,1,1,77200,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,400,0,0,0,0,0,1,0,30,30,0,103200,0,,,,3,0,1,1,10,20,0,1,1,79700,0,0,0,0,1,0,0,0,0,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,-85000,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,800,0,0,0,0,0,1,0,30,30,79800,0,0,,,,3,0,1,1,10,20,0,2,2,19800,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,400,0,0,0,0,0,1,0,30,30,79800,0,0,,,,3,0,1,1,10,20,0,2,2,17500,0,0,0,0,1,0,0,0,0,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,180000,0,0,0,0,1,0,0,0,0,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,190000,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,600,0,0,0,0,0,1,1,30,30,0,17300,0,,,,3,0,1,1,10,20,0,2,1,54600,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,400,0,0,0,0,0,1,1,30,30,0,17300,0,,,,3,0,1,1,10,20,0,2,1,52600,0,0,0,0,1,0,0,0,0,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,100000,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,800,0,0,0,0,0,1,1,30,30,52400,0,0,,,,3,0,1,1,10,20,0,1,2,86000,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,400,0,0,0,0,0,1,1,30,30,52400,0,0,,,,3,0,1,1,10,20,0,1,2,89100,0,0,0,0,1,0,0,0,0,1
AA,55,57,4,4,400,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,175000,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,600,0,0,0,0,0,1,1,30,30,0,89100,0,,,,3,0,1,1,10,20,0,2,1,39500,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,400,0,0,0,0,0,1,1,30,30,0,89100,0,,,,3,0,1,1,10,20,0,2,1,37600,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,2,0,0,0,0,0,0,3,1,30,30,0,89100,0,,,,3,0,1,1,10,20,0,2,1,37600,0,0,0,5,1,0,0,0,0,1
AA,55,57,2,2,300,0,0,0,0,0,3,0,30,30,,89100,-90000,,,,4,0,1,1,10,20,0,1,1,39500,0,0,0,0,1,0,0,0,0,1
AA,55,57,2,2,0,0,0,0,0,0,1,0,30,30,,89100,-90000,,,,4,0,1,1,10,20,0,1,1,39500,0,0,0,5,1,0,0,0,0,1
AA,55,57,2,2,600,0,0,0,0,0,1,0,30,30,,89100,-90000,,,,4,0,1,1,10,20,0,1,1,50300,0,0,0,0,1,0,0,0,0,1
AA,55,57,2,2,400,0,0,0,0,0,1,0,30,30,,89100,-90000,,,,4,0,1,1,10,20,0,1,1,52300,0,0,0,0,1,0,0,0,0,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,95000,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,800,0,0,0,0,0,1,1,30,30,52300,0,0,,,,3,0,1,1,10,20,0,1,2,112500,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,400,0,0,0,0,0,1,1,30,30,52300,0,0,,,,3,0,1,1,10,20,0,1,2,114500,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,0,0,0,0,0,0,1,1,30,30,52300,0,0,,,,3,0,1,1,10,20,0,1,2,114500,0,0,0,0,1,0,0,0,0,1
AA,55,57,1,1,0,0,0,0,0,0,1,1,30,30,52300,0,0,,,,3,0,1,1,10,20,0,1,2,124500,0,0,0,0,1,0,0,0,0,1
