20,,,,
P37070,P232560,P0,P1000,REVERSE1
P42240,P108280,P94000,P1000,REVERSE2
P43800,P163870,M90000,P1000,REVERSE3
P78520,P210570,P0,P1000,REVERSE4
P0,P0,P0,P1000,REVERSE5
P41700,P54800,M90000,P1000,REVERSE6
P39950,P82600,P90000,P1000,REVERSE7
P0,P0,P0,P1000,REVERSE8
P54350,P222500,M90000,P1000,REVERSE9
P55100,P233260,P180000,P1000,REVERSE10
P77260,P225860,P0,P1000,REVERSE11
P55100,P230420,P180000,P1000,REVERSE12
P0,P0,P0,P1000,REVERSE13
P37400,P167370,M90000,P1000,REVERSE14
P39800,P188200,P90000,P1000,REVERSE15
P39800,P188200,P90000,P1000,REVERSE16
P56000,P231560,P90000,P1000,REVERSE17
P0,P0,P0,P1000,REVERSE18
P0,P0,P0,P1000,REVERSE19
P35790,P233580,P0,P1000,REVERSE20
P56100,P231360,P90000,P1000,REVERSE21
P55760,P230600,P90000,P1000,REVERSE22
P55820,P166180,P90000,P1000,REVERSE23
P55900,P109250,M90000,P1000,REVERSE24
P55900,P159900,P90000,P1000,REVERSE25
P53500,P235000,P180000,P1000,REVERSE26
P35800,P73500,P90000,P1000,REVERSE27
P52600,P153500,M89000,P1000,REVERSE28
P80900,P210500,P0,P1000,REVERSE29
P0,P0,P0,P1000,REVERSE30
P41700,P54800,M90000,P1000,REVERSE31
P39950,P82600,P90000,P1000,REVERSE32
P0,P0,P0,P1000,REVERSE33
P54350,P222500,M90000,P1000,REVERSE34
P55100,P233260,P180000,P1000,REVERSE35
P77130,P225350,P1000,P1000,REVERSE36
P55100,P230420,P180000,P1000,REVERSE37
P0,P0,P0,P1000,REVERSE38
P37400,P167370,M90000,P1000,REVERSE39
P39800,P188200,P90000,P1000,REVERSE40
P39800,P188200,P90000,P1000,REVERSE41
P56000,P231560,P90000,P1000,REVERSE42
P0,P0,P0,P1000,REVERSE43
P0,P0,P0,P1000,REVERSE44
P0,P0,P0,P1000,REVERSE45
P56100,P231360,P90000,P1000,REVERSE46
P55760,P230600,P90000,P1000,REVERSE47
P55900,P168500,P90000,P1000,REVERSE48
P56400,P104000,M90000,P1000,REVERSE49
P55900,P159900,P90000,P1000,REVERSE50
P53500,P235000,P180000,P1000,JUNCTION1
P35800,P73500,P90000,P1000,JUNCTION2
P52600,P153500,M89000,P1000,JUNCTION3
P80900,P210500,P0,P1000,JUNCTION4
P0,P0,P0,P1000,JUNCTION5
P41700,P54800,M90000,P1000,JUNCTION6
P39950,P82600,P90000,P1000,JUNCTION7
P0,P0,P0,P1000,JUNCTION8
P54350,P222500,M90000,P1000,JUNCTION9
P55100,P233260,P180000,P1000,JUNCTION10
P77130,P225350,P1000,P1000,JUNCTION11
P55100,P230420,P180000,P1000,JUNCTION12
P0,P0,P0,P1000,JUNCTION13
P37400,P167370,M90000,P1000,JUNCTION14
P39800,P188200,P90000,P1000,JUNCTION15
P39800,P188200,P90000,P1000,JUNCTION16
P56000,P231560,P90000,P1000,JUNCTION17
P0,P0,P0,P1000,JUNCTION18
P0,P0,P0,P1000,JUNCTION19
P0,P0,P0,P1000,JUNCTION20
P56100,P231360,P90000,P1000,JUNCTION21
P55760,P230600,P90000,P1000,JUNCTION22
P55900,P168500,P90000,P1000,JUNCTION23
P56400,P104000,M90000,P1000,JUNCTION24
P55830,P157760,P90000,P1000,JUNCTION25
P53500,P235000,P180000,P1000,JUNCTION26
P35800,P73500,P90000,P1000,JUNCTION27
P52600,P153500,M89000,P1000,JUNCTION28
P80900,P210500,P0,P1000,JUNCTION29
P0,P0,P0,P1000,JUNCTION30
P41700,P54800,M90000,P1000,JUNCTION31
P39950,P82600,P90000,P1000,JUNCTION32
P0,P0,P0,P1000,JUNCTION33
P54350,P222500,M90000,P1000,JUNCTION34
P55100,P233260,P180000,P1000,JUNCTION35
P77130,P225350,P1000,P1000,JUNCTION36
P55100,P230420,P180000,P1000,JUNCTION37
P0,P0,P0,P1000,JUNCTION38
P37400,P167370,M90000,P1000,JUNCTION39
P39800,P188200,P90000,P1000,JUNCTION40
P39800,P188200,P90000,P1000,JUNCTION41
P56000,P231560,P90000,P1000,JUNCTION42
P0,P0,P0,P1000,JUNCTION43
P0,P0,P0,P1000,JUNCTION44
P0,P0,P0,P1000,JUNCTION45
P56100,P231360,P90000,P1000,JUNCTION46
P55760,P230600,P90000,P1000,JUNCTION47
P55900,P168500,P90000,P1000,JUNCTION48
P56400,P104000,M90000,P1000,JUNCTION49
P55900,P159900,P90000,P1000,JUNCTION50
P41300,P172740,M90000,P1000,CF1
P41260,P112000,M90000,P1000,CF2
P52600,P153500,M89000,P1000,CF3
P80900,P210500,P0,P1000,CF4
P0,P0,P0,P1000,CF5
P41700,P54800,M90000,P1000,CF6
P39950,P82600,P90000,P1000,CF7
P0,P0,P0,P1000,CF8
P54350,P222500,M90000,P1000,CF9
P55100,P233260,P180000,P1000,CF10
P77130,P225350,P1000,P1000,CF11
P55100,P230420,P180000,P1000,CF12
P0,P0,P0,P1000,CF13
P37400,P167370,M90000,P1000,CF14
P39800,P188200,P90000,P1000,CF15
P39800,P188200,P90000,P1000,CF16
P56000,P231560,P90000,P1000,CF17
P0,P0,P0,P1000,CF18
P0,P0,P0,P1000,CF19
P0,P0,P0,P1000,CF20
