header1,header2,data length,command,control,normal r,normal l,sut,suu,sdt,sdu,Area,Special flag,max speed,min speed,Target X,Target Y,Target YW,Current X,Current Y,Current YW,P ,I ,D ,Gain,dcct,dav,dacv,condition,End command,Target end command,traffic,remote cf,reveres,delay,P ,I ,D ,Gain
AA,55,57,1,2,800,800,1,20,1,20,2,1,40,40,80000,210400,-89000,,,,12,0,6,3,10,20,0,1,1,82200,0,0,0,0,1,0,0,0
AA,55,57,8,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,1,3,73000,0,0,0,0,0,0,0,0
AA,55,57,1,1,1600,1600,1,20,1,20,2,0,40,40,80000,0,-89000,,,,12,0,6,3,10,20,0,1,2,225500,0,0,0,0,1,0,0,0
AA,55,57,1,1,800,800,1,20,1,20,2,0,40,40,80000,0,-89000,,,,12,0,6,3,10,20,0,1,2,226700,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,3,0,40,40,80000,0,92000,,,,12,0,6,3,10,20,0,1,2,227010,0,0,0,0,0,0,0,0
AA,55,57,1,1,400,400,1,20,1,20,3,0,40,40,80000,0,92000,,,,12,0,6,3,10,20,0,1,2,227750,0,0,0,0,0,0,0,0
AA,55,57,1,1,200,200,1,20,1,20,3,0,40,40,80000,0,92000,,,,12,0,6,3,10,20,0,1,2,228300,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,7,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,2,3,18000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,2,3,200,200,1,20,1,20,7,0,10,10,54800,225750,0,,,,12,0,6,3,0,20,0,2,1,79900,0,0,0,0,0,0,0,0
AA,55,57,2,3,150,150,1,20,1,20,7,0,10,10,54800,225750,0,,,,12,0,6,3,0,20,0,2,1,79610,0,0,0,0,0,0,0,0
AA,55,57,2,2,0,0,1,20,1,20,7,2,10,10,54800,225750,0,,,,12,0,6,3,0,20,0,2,1,79610,0,0,0,3,0,0,0,0
AA,55,57,2,2,0,0,1,20,1,20,7,6,10,10,54800,225750,180000,,,,12,0,6,3,0,20,0,2,1,79610,0,0,11,0,0,0,0,0
AA,55,57,1,2,600,600,1,20,1,20,7,1,40,40,0,225750,180000,,,,12,0,6,3,10,20,0,1,1,81200,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,8,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,1,3,77000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,1,1,400,400,1,20,1,20,3,0,40,40,79000,0,92000,,,,12,0,6,3,10,20,0,1,2,228850,0,0,0,0,0,0,0,0
