header1,header2,data length,command,control,normal r,normal l,sut,suu,sdt,sdu,Area,Special flag,max speed,min speed,Target X,Target Y,Target YW,Current X,Current Y,Current YW,P ,I ,D ,Gain,dcct,dav,dacv,condition,End command,Target end command,traffic,remote cf,reverse ,delay,P ,I ,D ,Gain
AA,55,57,1,3,0,0,1,40,1,40,2,3,40,40,36100,0,0,,,,4,0,6,6,10,20,0,1,1,36300,0,0,3,0,1,0,0,0
AA,55,57,1,3,1500,1500,1,40,1,40,2,3,40,40,36100,0,0,,,,4,0,6,6,10,20,0,1,1,39000,0,0,0,0,1,0,0,0
AA,55,57,1,3,0,0,0,40,0,40,2,3,40,40,36100,0,0,,,,4,0,6,6,10,20,0,1,1,0,0,0,0,1,1,0,0,0
AA,55,57,8,0,200,200,0,40,0,40,2,3,40,40,53350,0,-91000,,,,24,0,6,3,10,20,0,1,3,70000,0,0,0,0,1,0,0,0
AA,55,57,8,0,200,200,0,40,0,40,2,3,40,40,53350,0,-91000,,,,24,0,6,3,10,20,0,1,3,80000,0,0,0,0,1,0,0,0
AA,55,57,8,0,0,0,0,40,0,40,5,2,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,1,1,0,0,0
AA,55,57,1,1,4000,4000,2,40,2,40,1,2,40,40,39600,0,92000,,,,24,0,6,3,10,20,0,1,2,76000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,2,20,20,39600,0,92000,,,,24,0,6,3,10,20,0,1,2,77500,0,0,0,0,1,0,0,0
AA,55,57,1,1,1200,1200,2,40,2,40,1,2,20,20,39600,0,92000,,,,24,0,6,3,10,20,0,1,2,76600,0,0,0,0,1,0,0,0
AA,55,57,4,0,1500,1200,1,60,1,60,5,2,40,40,0,0,92000,,,,24,0,6,3,10,20,0,1,3,110000,0,0,0,0,1,0,0,0
AA,55,57,1,3,1350,1350,1,40,1,40,5,3,40,40,0,0,135000,,,,4,0,6,6,10,20,0,2,1,38575,0,0,0,0,1,0,0,0
AA,55,57,1,3,1200,1200,1,40,1,40,5,3,40,40,0,0,135000,,,,4,0,6,6,10,20,0,2,1,38025,0,0,0,0,1,0,0,0
AA,55,57,3,0,1200,1500,1,60,1,60,5,2,40,40,8470,0,92000,,,,24,0,6,3,10,20,0,2,3,100000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1350,1350,1,40,1,40,5,2,40,40,37400,0,92000,,,,24,0,6,3,10,20,0,1,2,82900,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,1,40,1,40,5,2,40,40,37400,0,92000,,,,24,0,6,3,10,20,0,1,2,82900,0,0,0,2,0,0,0,0
AA,55,57,7,0,180,180,1,40,1,40,4,3,3,3,53350,0,-91000,,,,24,0,6,3,0,20,0,2,3,60000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,40,1,40,3,2,40,40,55900,0,92000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,2,3,375,375,2,40,2,40,3,2,40,40,0,0,45000,,,,4,0,6,6,10,20,0,2,1,36720,0,0,0,0,1,0,0,0
AA,55,57,8,0,120,120,2,40,2,40,4,2,40,40,0,0,45000,,,,24,0,6,3,10,20,0,1,3,70000,0,0,0,0,1,0,0,0
AA,55,57,2,3,225,225,1,40,1,40,5,2,40,40,52900,244690,78000,,,,4,0,6,6,10,20,0,2,2,82350,0,2,0,0,1,0,0,0
AA,55,57,2,3,225,225,1,40,1,40,5,2,40,40,52900,244690,78000,,,,4,0,6,6,10,20,0,2,2,82100,0,0,2,0,1,0,0,0
AA,55,57,1,1,1200,1200,2,40,2,40,4,0,40,40,36800,0,92000,,,,24,0,6,3,10,20,0,1,2,82300,0,0,0,0,1,0,0,0
AA,55,57,3,0,1200,1500,2,40,2,40,3,0,40,40,8470,0,92000,,,,24,0,6,3,10,20,0,2,3,55000,0,0,0,0,1,0,0,0
AA,55,57,1,3,1350,1350,2,40,2,40,3,1,40,40,0,0,45000,,,,4,0,6,6,10,20,0,1,1,38650,0,0,0,0,1,0,0,0
AA,55,57,4,0,1500,1200,2,40,2,40,3,0,40,40,0,0,92000,,,,24,0,6,3,10,20,0,1,3,85000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1350,1350,2,40,2,40,1,0,40,40,39600,0,92000,,,,24,0,6,3,10,20,0,1,2,88500,0,0,0,0,1,0,0,0
AA,55,57,1,1,1800,1800,2,40,2,40,1,0,40,40,39600,0,92000,,,,24,0,6,3,10,20,0,1,2,92500,0,0,0,0,1,0,0,0
AA,55,57,1,1,1800,1800,2,40,2,40,1,0,40,40,39600,0,92000,,,,24,0,6,3,10,20,0,1,2,79500,0,0,7,0,1,0,0,0
AA,55,57,1,1,4000,4000,2,40,2,40,1,0,40,40,39600,0,92000,,,,24,0,6,3,10,20,0,1,2,137500,0,0,0,0,1,0,0,0
AA,55,57,1,1,4000,4000,2,40,2,40,1,0,40,40,39580,0,92000,,,,24,0,6,3,10,20,0,1,2,147500,0,0,0,0,1,0,0,0
AA,55,57,1,1,4000,4000,2,40,2,40,1,0,40,40,39565,0,92000,,,,24,0,6,3,10,20,0,1,2,161000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,0,40,40,39550,0,92000,,,,24,0,6,3,10,20,0,1,2,164000,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,0,40,40,39600,0,92000,,,,24,0,6,3,10,20,0,1,2,179000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,0,40,40,39620,0,92000,,,,24,0,6,3,10,20,0,1,2,180000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,0,40,40,39640,0,92000,,,,24,0,6,3,10,20,0,1,2,180000,0,0,15,0,1,0,0,0
AA,55,57,1,1,4000,4000,2,40,2,40,1,0,40,40,39660,0,92000,,,,24,0,6,3,10,20,0,1,2,197500,0,0,0,0,1,0,0,0
AA,55,57,1,1,4000,4000,2,40,2,40,1,0,40,40,39680,0,92000,,,,24,0,6,3,10,20,0,1,2,245500,0,0,0,0,1,0,0,0
AA,55,57,1,1,4000,4000,2,40,2,40,1,0,40,40,39700,0,92000,,,,24,0,6,3,10,20,0,1,2,245500,0,0,0,0,1,0,0,0
AA,55,57,1,1,2400,2400,2,40,2,40,2,0,40,40,39700,0,92000,,,,24,0,6,3,10,20,0,1,2,249800,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,2,0,40,40,39700,0,92000,,,,24,0,6,3,10,20,0,1,2,251750,0,0,0,0,1,0,0,0
AA,55,57,3,0,1200,1800,1,60,1,60,4,0,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,65000,0,0,0,0,1,0,0,0
AA,55,57,3,0,1200,1800,1,60,1,60,4,0,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,10000,0,0,0,0,1,0,0,0
AA,55,57,1,2,1350,1350,2,40,2,40,3,1,40,40,80000,253500,0,,,,24,0,6,3,10,20,0,1,1,44500,0,0,0,0,1,0,0,0
AA,55,57,1,2,2400,2400,2,40,2,40,1,1,60,60,80000,253500,0,,,,24,0,6,3,10,20,0,1,1,45500,0,0,0,0,1,0,0,0
AA,55,57,1,2,2400,2400,2,40,2,40,1,1,40,40,80000,253500,0,,,,24,0,6,3,10,20,0,1,1,51300,0,0,0,0,1,0,0,0
AA,55,57,1,2,1500,1500,2,40,2,40,1,1,40,40,80000,253500,0,,,,24,0,6,3,10,20,0,1,1,52400,0,0,0,0,1,0,0,0
AA,55,57,3,0,1200,1800,1,60,1,60,3,0,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,-35000,0,0,0,0,1,0,0,0
AA,55,57,3,0,1200,1800,1,60,1,60,3,0,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,-75000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,1,50,50,54400,0,-92000,,,,24,0,6,3,10,20,0,2,2,251000,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,1,40,40,54400,0,-92000,,,,24,0,6,3,10,20,0,2,2,246200,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3000,2,40,2,40,1,1,40,40,54400,0,-92000,,,,24,0,6,3,10,20,0,2,2,246200,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,1,40,40,54400,0,-92000,,,,24,0,6,3,10,20,0,2,2,228200,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,1,40,40,54400,0,-92000,,,,24,0,6,3,10,20,0,2,2,226000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,1,40,40,54400,0,-92000,,,,24,0,6,3,10,20,0,2,2,224400,0,0,9,0,1,0,0,0
AA,55,57,1,1,1800,1800,2,40,2,40,1,1,40,40,54400,0,-92000,,,,24,0,6,3,10,20,0,2,2,217900,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,1,40,40,54400,0,-92000,,,,24,0,6,3,10,20,0,2,2,215400,0,0,0,0,1,0,0,0
AA,55,57,4,0,1800,1200,1,60,1,60,3,0,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,1,3,-75000,0,0,0,0,1,0,0,0
