header1,header2,data length,command,control,Normal Speed,Angle Stepping,Speed Up Time,Speed Up Unit,Speed Down Time,Speed Down Unit,Lift Control (0-3),Special flag,max speed,min speed,Target X,Target Y,Target Angle,Current X,Current Y,Current Angle,PID_P ,PID_I ,PID_D ,PID_Gain,PID Control Time,Volume Melody,PID Activate Error Value,Condition,End command,Target end command,Traffic,Remote CF,Reveres,Delay,PID2_P(Free) ,PID2_I_Low(Free) ,Area Sensor Front,Area Sensor Right,Area Sensor Left,PID2_Gain(Free),maproute
AA,55,57,1,1,600,0,0,0,0,0,1,1,30,30,72155,0,0,,,,3,0,1,1,10,20,0,1,2,114750,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,1,1,300,0,0,0,0,0,1,1,30,30,72155,0,0,,,,3,0,1,1,10,20,0,1,2,116100,0,0,0,0,1,0,2,1,1,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,10000,0,0,0,0,1,0,0,1,1,1,1
AA,55,57,1,2,500,0,0,0,0,0,1,0,30,30,0,115200,0,,,,3,0,1,1,10,20,0,1,1,72000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,2,400,0,0,0,0,0,1,0,30,30,0,115200,0,,,,3,0,1,1,10,20,0,1,1,74500,0,0,0,0,1,0,3,3,3,1,1
AA,55,57,4,4,400,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,77000,0,0,0,0,1,0,1,1,1,1,1
AA,55,57,1,1,600,0,0,0,0,0,1,1,30,30,74300,0,0,,,,3,0,1,1,10,20,0,2,2,150000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,1,600,0,0,0,0,0,1,1,30,30,75000,0,0,,,,3,0,1,1,10,20,0,1,2,120000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,1,400,0,0,0,0,0,1,1,30,30,75000,0,0,,,,3,0,1,1,10,20,0,1,2,122000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,10000,0,0,0,0,1,0,4,4,4,1,1
AA,55,57,1,2,600,0,0,0,0,0,1,0,30,30,0,122200,0,,,,3,0,1,1,10,20,0,1,1,77200,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,2,400,0,0,0,0,0,1,0,30,30,0,122200,0,,,,3,0,1,1,10,20,0,1,1,79700,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,-80000,0,0,0,0,1,0,4,4,4,1,1
AA,55,57,1,1,1000,0,0,0,0,0,1,0,30,30,79800,0,0,,,,3,0,1,1,10,20,0,2,2,22000,0,0,0,0,1,0,7,7,7,1,1
AA,55,57,1,1,400,0,0,0,0,0,1,0,30,30,79800,0,0,,,,3,0,1,1,10,20,0,2,2,18000,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,180000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,185000,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,2,600,0,0,0,0,0,1,1,30,30,0,17300,0,,,,3,0,1,1,10,20,0,2,1,55000,0,0,0,0,1,0,7,7,7,1,1
AA,55,57,1,2,400,0,0,0,0,0,1,1,30,30,0,17300,0,,,,3,0,1,1,10,20,0,2,1,53500,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,3,4,400,-1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,103000,0,0,0,0,1,0,1,1,1,1,1
AA,55,57,1,1,1000,0,0,0,0,0,1,1,30,30,52600,0,0,,,,3,0,1,1,10,20,0,1,2,17000,0,0,0,0,1,0,7,7,7,1,1
AA,55,57,1,1,500,0,0,0,0,0,1,1,30,30,52200,0,0,,,,3,0,1,1,10,20,0,1,2,23300,0,0,0,0,1,0,7,7,7,1,1
AA,55,57,1,1,300,0,0,0,0,0,1,1,30,30,52200,0,0,,,,3,0,1,1,10,20,0,1,2,25500,0,0,0,0,1,0,7,7,7,1,1
AA,55,57,4,4,500,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,170000,0,0,0,0,1,0,1,1,1,1,1
AA,55,57,1,2,600,0,0,0,0,0,1,1,30,30,0,26400,0,,,,3,0,1,1,10,20,0,2,1,45850,0,0,0,0,1,0,6,6,6,1,1
AA,55,57,1,2,350,0,0,0,0,0,1,1,30,30,0,26400,0,,,,3,0,1,1,10,20,0,2,1,43350,0,0,0,0,1,0,5,5,5,1,1
AA,55,57,1,2,250,0,0,0,0,0,1,1,30,30,0,26400,0,,,,3,0,1,1,10,20,0,2,1,41720,0,0,0,0,1,0,3,3,3,1,1
AA,55,57,1,2,0,0,0,0,0,0,1,1,30,30,0,26400,0,,,,3,0,1,1,10,20,0,2,1,42970,0,0,0,1,1,0,3,3,3,1,1
AA,55,57,4,4,500,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,2,3,-90000,0,0,0,0,1,0,0,0,0,1,1
AA,55,57,4,4,500,1800,0,0,0,0,1,0,30,30,0,0,0,,,,3,0,1,1,10,20,0,1,3,-92000,0,0,0,0,1,0,0,0,0,1,1
AA,55,57,2,1,400,0,0,0,0,0,1,1,30,30,43680,0,0,,,,15,0,10,1,10,20,0,1,2,20000,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,2,1,400,0,0,0,0,0,1,1,30,30,42640,0,0,,,,15,0,10,1,10,20,0,1,2,25200,0,0,0,0,1,0,1,0,0,1,1
AA,55,57,2,1,300,0,0,0,0,0,1,1,30,30,42640,0,0,,,,15,0,10,1,10,20,0,1,2,26100,0,0,0,0,1,0,1,0,0,1,2
AA,55,57,2,1,0,0,0,0,0,0,3,1,30,30,42640,0,0,,,,15,0,10,1,10,20,0,1,2,26000,0,0,0,10,1,0,1,0,0,1,2
AA,55,57,1,1,400,0,0,0,0,0,3,0,30,30,42640,0,0,,,,3,0,1,1,10,20,0,2,2,26800,0,0,0,2,1,0,1,0,0,1,1
